&c.	etc.
'printiced	prenticed
'quired	acquired
'quirin'	inquiring
'r	are
're	are
'rested	arrested
'rests	arrests
'rived	arrived
'rizon	horizon
'save	save
'sayed	assayed
'schew	eschew
'scuse	excuse
'scuses	excuses
'seris'	serious
'shrew	beshrew
'sistency's	consistency's
'sizes	assizes
'special	special
'specially	especially
'spectable	respectable
'spectations	expectations
'spected	expected
'spectful	respectful
'spectin'	expecting
'spects	expects
'spite	despite
'spitefully	spitefully
'sponsibility	responsibility
'spose	suppose
'st	hast
'stead	instead
'stonished	astonished
'stroyed	destroyed
't	it
'tall	t'all
'tame	attame
'tan't	'tisn't
'teak	steak
'ticed	enticed
'tide	betide
'till	until
'tis	it's
'tish	'tis
'top	stop
'torney	attorney
'ts	its
'tween	between
'twill	it'll
'twixt	betwixt
'ud	would
'ull	will
'un	one
'uns	ones
'up	up
'vantage	advantage
've	have
'vise	advise
'voided	avoided
'ware	aware
'way	away
'world	world
2d.	twopence
6d.	sixpence
ADAM	Adam
ADDISON	Addison
ADRIANO	Adriano
AEacida	Aeacida
AEacides	Aeacides
AEneas	Aeneas
AEneas'	Aeneas'
AEolus	Aeolus
AEsculapius	Aesculapius
AEson	Aeson
AEsop	Aesop
AEtna	Aetna
AFFGHANISTAN	Afghanistan
AGUECHEEK	Aguecheek
AHAB	Ahab
AHAB'S	Ahab's
AMANTIUM	Amantium
AMELIA	Amelia
ANDREW	Andrew
ARMADA	Armada
ARMADO	Armado
ARMSTRONG	Armstrong
ARSACIDES	Arsacides
ARTEMIDORUS	Artemidorus
ARTHUR'S	Arthur's
AUGUSTUS	Augustus
AW	I
AZORE	Azore
Abbén	Abbé
Achilles's	Achilles'
Adon	Adonis
Adons	Adonis
Ajax'	Ajax's
Al'ce	Alice
Alisander	Alexander
Amamon	Amaimon
Anglish	English
Anglo-Saxon	Anglo-Saxon
Ariachne's	Ariadne's
Aw'd	I'd
Aw'll	I'll
Aw'm	I'm
Aw's	I'se
Aws	I'm
Ay'll	I'll
BECKY	Becky
BEECHER	Beecher
BELFAST	Belfast
BENTLEY	Bentley
BERTRAM	Bertram
BOSTON	Boston
BRIGHTON	Brighton
BRIT	Brit
BROTHERTON	Brotherton
BRUSSELS	Brussels
BRYANT	Bryant
BUTE	Bute
Balthasar	Balthazar
Barthol'mew	Bartholomew
Ben-Lawers	Ben-lawers
Bermoothes	Bermudas
Black-Friars	Blackfriars
Bourdeaux	Bordeaux
Briggs's	Briggs'
Brit-Ish	British
Brute	Brutus
CANNY	Canny
CAPILET	Capilet
CASSY	Cassy
CHATHAM	Chatham
CHE	I
CHESNEY	Chesney
CHINA	China
CHISWICK	Chiswick
CLARISSA	Clarissa
CLEVELAND	Cleveland
COLEMAN	Coleman
CONAN	Conan
CRAWLEY	Crawley
CRAWLEY'S	Crawley's
CUFF'S	Cuff's
Cacaliban	Caliban
Cadwallader	Cadwalader
Capels	Capulets
Capels'	Capulets'
Charing-cross	Charingcross
Charles's	Charles'
Cheshu	Jesu
Chrish	Christ
Christen	Christian
Christom	Christian
Christophero	Christopher
Circes	Circe's
Clarence'	Clarence's
Clelias	Clelia's
Color-Serjeant	Color-serjeant
Crahnr's'	Crahnr's
Cressid's	Cressida's
Cressids	Cressidas
DAGGOO	Daggoo
DAYVLE	Dayvle
DEDLOCK	Dedlock
DERBYSHIRE	Derbyshire
DIANA	Diana
DICK	Dick
DINAH	Dinah
DOBBIN	Dobbin
DOWLING	Dowling
DOWLINGS	Dowlings
Deep-Valley	Deep-valley
Dian's	Diana's
Diomed's	Diomedes'
Dough-Boy's	Dough-boy's
Dut	Dutch
ECCL	Eccl
ECUADOR	Ecuador
EDGAR	Edgar
ELIZA	Eliza
ELIZA'S	Eliza's
ELLERY	Ellery
EMMELINE	Emmeline
ENDERBY	Enderby
ENGLAND	England
ENNERDALE	Ennerdale
EOTHEN	Eothen
ESQ	Esq
ESTHER'S	Esther's
EVA	Eva
EVA'S	Eva's
EVANGELINE	Evangeline
EZEKIEL	Ezekiel
Edinbro'	Edinborough
Embro'	Embro
Ercles	Hercules
Ercles'	Hercules'
Ethiope	Ethiop
Ethiope's	Ethiop's
Ethiopes	Ethiops'
FALSTAFF	Falstaff
FEDALLAH	Fedallah
FLASK	Flask
GABBERLY	Gabberly
GAM	Gam
GASTON	Gaston
GEORGE	George
GEORGY	Georgy
GLEIG	Gleig
GONERIL	Goneril
GREENWOOD	Greenwood
GREGORY'S	Gregory's
Gay-Header's	Gay-header's
Geffrey	Geoffrey
Ger	Her'
Gis	Jesu
Goliases	Goliaths
Got's	God's
Grissel	Griselda
HAB	Hab
HALEY	Haley
HAMLET	Hamlet
HAMPSHIRE	Hampshire
HARDY	Hardy
HARRIET	Harriet
HARRIS	Harris
HAWTHORNE	Hawthorne
HEIDELBURGH	Heidelburg
HENRIQUE	Henrique
HENRY	Henry
HERMAN	Herman
HETTY'S	Hetty's
HOBART	Hobart
HYMEN	Hymen
Ha'rford-west	Hartford-west
Harris's	Harris'
Hibocrates	Hippocrates
Holy-rood	Holyrood
Horrocks's	Horrocks'
I'ld	I'd
I'n	I've
ICELAND	Iceland
ISABELLA	Isabella
ISHMAEL	Ishmael
Inch-Grabbit	Inch-grabbit
Isbel's	Isabel's
Isbels	Isabels
Iv'e	I've
JACK	Jack
JAGO'S	Jago's
JAMES	James
JARNDYCE	Jarndyce
JEMIMA	Jemima
JEROBOAM'S	Jeroboam's
JEWETT	Jewett
JO'S	Jo's
JOHN	John
JONAH	Jonah
JOS	Jos
JOSEPH	Joseph
Jack-a-Lent	Jack-a-lent
James's	James'
Jeshu	Jesu
Jesu	Jesus
Joseph's'	Joseph's
Jud-as	Judas
KENTUCK	Kentucky
KIT	Kit
Katharine's	Katherine's
Kentuck	Kentucky
Kintuck	Kentucky
KirkChrist	Kirkchrist
L've	I've
LASCAR	Lascar
LEONATUS	Leonatus
LINCOLNSHIRE	Lincolnshire
LISBETH	Lisbeth
LONDON	London
LONG-ISLAND	Long-Island
Laurence'	Laurence's
Lawrence	Laurence
Leo-natus	Leonatus
Lestrale	Lestrake
Leviathan	Levia
Lick-the-Ladle	Lick-the-ladle
Lucrece'	Lucrece's
M'M	M'm
MAB	Mab
MACKENZIE	Mackenzie
MACY	Macy
MALL	Mall
MALTESE	Maltese
MALVOLIO	Malvolio
MANX	Manx
MAPPLE	Mapple
MARDI	Mardi
MARTHA	Martha
MARY	Mary
MATTHEW	Matthew
MELVILLE	Melville
MICHAEL	Michael
MICHAEL'S	Michael's
MOBY	Moby
MOBY-DICK	Moby-Dick
MONTAIGNE	Montaigne
MORRIS	Morris
Ma'mselle	Mademoiselle
Margar't	Margaret'
Methodies'	Methodists'
Methodisses	Methodists
Methody	Methodist
Methodys	Methodists
Moby-Dick	Moby-dick
Moyses	Moses
Mr	Mr.
Mrs	Mrs.
Muscovits	Muscovites
NANTUCKET	Nantucket
NATHAN	Nathan
NATHANIEL	Nathaniel
NELL	Nell
Native-Hindoo	native-Hindoo
O'D	O'd
OHIO	Ohio
OHPELIA'S	Ophelia's
OI	I
OLDHAM	Oldham
OMOO	Omoo
OPHELIA'S	Ophelia's
OSBORNE	Osborne
Oi'm	I'm
Oi'se	I'se
Oi've	I've
PAROLLES	Parolles
PARSONS	Parsons
PEHEE-NUEE-NUEE	Pehee-nuee-nuee
PEKEE-NUEE-NUEE	Pekee-nuee-nuee
PEQUOD	Pequod
PINKERTON	Pinkerton
PIP	Pip
PITT	Pitt
POSTHUMUS	Posthumus
POYSER	Poyser
PROCTER	Procter
Pabylon	Babylon
Pall-Mall	Pall-mall
Pandar's	Pandarus'
Peesel	Pistol
Pheezar	Caesar
Phenix	Phoenix
Phibbus'	Phœbus'
Philippe	Philip
Phoebus	Phœbus
Phoebus'	Phœbus'
Phyrnia	Phrynia
Polonius's	Polonius'
Prooshians	Prussians
Ptolemies'	Ptolemy's
Pyramus's	Pyramus'
QUAKER	Quaker
QUEENHOO-HALL	Queenhoo-hall
QUEEQUEG	Queequeg
QUITO	Quito
RACHEL	Rachel
RAMADAN	Ramadan
RAWDON	Rawdon
REBECCA	Rebecca
REBECCA'S	Rebecca's
REDBURN	Redburn
REPUBLICA	Republica
RHEIN	Rhein
RHYMER	Rhymer
RICHARD	Richard
ROBBINS	Robbins
ROBERT	Robert
ROSE-BUD	Rose-bud
Raggles's	Raggles'
Raine	Rain
Ravelations	Revelations'
Rooshians	Russians
Rosycrucians	Rosicrucians
Rubricks	Rubric
SAMUEL	Samuel
SCOTT	Scott
SEDLEY	Sedley
SETH	Seth
SHELBY	Shelby
SMALLWEED	Smallweed
SNAGSBY	Snagsby
SPHYNX	Sphynx
STARBUCK	Starbuck
STEYNE	Steyne
STOWE	Stowe
STRUTT'S	Strutt's
STUBB	Stubb
STUBB'S	Stubb's
SUNDAY	Sunday
Salique	Salic
Sandie	Sandy
Sept	September
Shafalus	Cephalus
Sharpe	Sharp
Shaven	Shaved
Sturgis's	Sturgis'
Sugarplums'	Sugarplums
Syenna's	Sienna's
Sylla	Sulla
Syracusa	Syracyse
TALBOT	Talbot
TASHTEGO	Tashtego
THOMAS	Thomas
TOM	Tom
TOM-ALL-ALONE'S	Tom-all-alone's
TOPSY	Topsy
TOWN-HO'S	Town-ho's
TREMLETT	Tremlett
TULKINGHORN'S	Tulkinghorn's
TYPEE	Typee
Tavy's	Davy's
Thisby	Thisbe
Thisby's	Thisbe's
Thisne	Thisbe
Tom-all-Alone's	Tom-all-alone's
Town-Ho's	Town-ho's
Treddles'on	Treddleston
Troyan	Trojan
VAUXHALL	Vauxhall
Veroles	Verolles
Vitus's	Vitus'
WALTER	Walter
WAVERLEY	Waverley
WESTMORLAND	Westmorland
WHITE-JACKET	White-jacket
WILLIAM	William
WILLIS	Willis
WORTHINGTON	Worthington
Waverley-Chace	Waverley-Chace
Waverley-Honour	Waverley-honour
White-Friars	Whitefriars
White-Jacket	White-jacket
Wiclif's	Wicliffe's
YORK	York
Yedward	Edward
a'getten	got
a'lee	alee
a'low	alow
a'mighty's	almighty's
a'most	almost
a'n't	aren't
a'nodding	nodding
a'nt	isn't
a'ready	already
a'shiver	ashiver
a't	hast
a'top	atop
a-bakin'	baking
a-balancing	balancing
a-batfowling	batfowling
a-be	be
a-bed	abed
a-begging	begging
a-billing	billing
a-bin	been
a-birding	birding
a-bleatin'i'	bleating
a-breeding	breeding
a-brewing	brewing
a-bringin'	bringing
a-capering	capering
a-carrying	carrying
a-chasing	chasing
a-cold	cold
a-comin'	coming
a-coming	coming
a-cryin'	crying
a-crying	crying
a-cursing	cursing
a-doin	doing
a-doing	doing
a-doting	doting
a-down	down
a-down-a	down
a-dressing	dressing
a-driving	driving
a-dropping	dropping
a-ducking	ducking
a-dyin'	dying
a-dying	dying
a-feasting	feasting
a-findin'	finding
a-finding	finding
a-giving	giving
a-goin'	going
a-going	going
a-groaning	groaning
a-growing	growing
a-hanging	hanging
a-height	height
a-high	high
a-hold	ahold
a-hooting	hooting
a-hungry	hungry
a-killing	killing
a-kissing	kissing
a-laughing	laughing
a-longing	longing
a-lookin'	looking
a-lyin'	lying
a-makin'	making
a-making	making
a-many	many
a-marr'in'	marrying
a-marr'ing	marrying
a-mekin'	making
a-mending	mending
a-missing	missing
a-piece	apiece
a-pieces	a-apiece
a-plaguin'	plaguing
a-prayin'	praying
a-praying	praying
a-preachin'	preaching
a-preaching	preaching
a-repairing	repairing
a-restin'	resting
a-ripening	ripening
a-rolling	rolling
a-scouring	scouring
a-scratching	scratching
a-sewing	sewing
a-shaking	shaking
a-shouting	shouting
a-singin'	singing
a-sittin'	sitting
a-sitting	sitting
a-sleepin'	sleeping
a-sleeping	sleeping
a-smilin'	smiling
a-snatching	snatching
a-sparklin'	sparkling
a-standing	standing
a-starin'	staring
a-staring	staring
a-starn	astern
a-strapping	strapping
a-swearing	swearing
a-talking	talking
a-telling	telling
a-thievin'	thieving
a-thinking	thinking
a-trembling	trembling
a-trying	trying
a-turnin'	turning
a-usin'	using
a-visitin'	visiting
a-walking	walking
a-watering	watering
a-weeping	weeping
a-whaling	whaling
a-wooing	wooing
a-workin'	working
aEdiles	aediles
aEgle	aegle
abaht	about
abbominable	abominable
abhominable	abominable
abhorredst	abhorredest
ableeding	bleeding
aboot	about
abound'st	aboundest
abrook	brook
abt	about
accompt	account
accordeth	accords
accordin'	according
accountant-General	accountant-general
accountedst	accountedest
accoutred	accoutered
accurs'd	accursed
accurst	accursed
accuseth	accuses
achin'	aching
acquintance	acquaintance
acquit	acquitted
acrost	across
addeth	adds
adieux	adieus
adolescence'	adolescence's
adoreth	adores
adown	down
adown-a	down
advanc'd	advanced
ae	a
afeared	afeard
aff	off
affaires	affairs
affecteth	affects
affeered	afeard
affordeth	affords
afsd	aforesaid
aft'noon	afternoon
aften	often
after-dinner's	afterdinner's
after-times	aftertimes
after-wards	afterwards
afterward	afterwards
ag'in	again
again'	against
againe	again
agazed	gazed
ageyn	against
aggravatin'	aggravating
aggravatinest	aggravatingest
aggriefed	aggrieved
aght	ought
agin'	against
agoin'	going
agoing	going
agone	ago
agonie	agony
agoo	ago
agwine	going
ah!	ah
aha!	aha
ahr	our
aht	out
aides-de-Camp	aides-de-camp
aim'st	aimest
ain	own
ain't	aren't
airley	early
aitch	each
al	all
al'ays	always
al'us	always
alane	alone
alarum	alarm
alarum-bell	alarm-bell
alarumed	alarmed
alarums	alarms
ale-house	alehouse
ale-houses	alehouses
ale-wife	alewife
alehouse'	ale-house's
all'us	always
all-Seer	all-seer
all-hallond	all-hallow
all-hallown	all-hallow
all-thing	al-thing
all-worthy	allworthy
allarms	alarms
allas	always
allicholy	melancholy
allus	always
almanack	almanac
almanacks	almanacs
almanecks	almanacs
alooan	alone
aloon	alone
altho'	although
alway	always
alwayth	always
amaist	almost
amang	among
amazeth	amazes
amazin'	amazing
amen!	amen
amende	amend
amidst	amid
amone	among
amost	almost
an'	and
an-hungry	hungry
anacondas	anaconda
ance	once
ancient'st	ancientest
ancle	ankle
and't	an't
and-a	and
ane	one
aneuch	enough
angerly	angrily
anglo-Saxon	Anglo-Saxon
ankers	anchors
anoo	enough
anoof	enough
ans	once
answer'st	answerest
anti-Cinder	anti-cinder
anythink	anything
anyways	anyway
anywhar	anywhere
anywheres	anywhere
anywhers	anywheres
apaid	paid
apologise	apologize
apostraphas	apostrophes
apparelled	appareled
appartements	apartments
appear'd	appeared
appeareth	appears
apple-tart	appletart
apple-trees	appletrees
approacheth	approaches
approv'd	approved
apricocks	apricots
aqua-vitae	aquavitae
aqueducs	aqueducts
ar'n't	aren't
ar's	there's
araneides	araneids
arbors	arbours
arcadian	Arcadian
arch-enemy	archenemy
aready	already
ariseth	arises
arm'd	armed
arm-and-arm	arm-in-arm
armadoes	armadas
armie	army
arn't	aren't
arnt	earned
arraign'd	arraigned
arrow-root	arrowroot
arter	after
artes	arts
artilirie	artillery
artizans	artisans
artn't	aren't
artna	aren't
as'	as
as'es	as's
as'ull	as'll
asayin'	saying
ask'd	asked
ask'st	askest
askaunt	askance
asketh	asks
askin'	asking
asphalte	asphalt
aspicious	suspicious
assaileth	assails
assaye	assay
asse	as
assoilzied	assoiled
atchieved	achieved
athversary	adversary
atn't	aren't
attend'st	attendest
attendeth	attends
attened	attended
aud	and
auld	old
aunchient	ancient
auther	author
autor	author
auy	any
ave	have
avised	advised
awa	away
awaketh	awakes
awanting	wanting
aweary	weary
aweel	well
awk'ard	awkward
awn	own
awtered	altered
axed	asked
axle-tree	axletree
ay!	ay
ay-'arvest	hay-harvest
ayther	either
b'ar	bear
b'lieve	believe
back'	back
back'ard	backwards
back'ards	backwards
back'st	backest
back-friend	backfriend
back-gammon	backgammon
back-ground	background
bad'st	badst
baes	bahs
bag-piper	bagpiper
bah!'d	bah'd
baht	about
bakin'	baking
balck	black
baldrick	baldric
bamboo-Town	bamboo-town
banteing	bantering
bar'ls	barrels
bare	bore
bare-bone	barebone
bare-footed	barefooted
bare-headed	bareheaded
bark'st	barkest
barketh	barks
barne	bairn
barnes	barns
baron-Bailie	baron-bailie
barr'st	barrest
barthens	burdens
base-born	baseborn
battalia	battalions
battaliam	battalion
battalliam	battalion
bauld	bald
baulder	balder
baulk	balk
bawdy-house	bawdyhouse
baynt	aren't
be-lee'd	belee'd
be-met	bemet
be-mete	bemete
be-monster	bemonster
be-netted	benetted
be-tumbled	betumbled
beam'd	beamed
beameth	beams
bear'st	bearest
bear-Warden	bear-warden
bear-baiting	bearbaiting
bear-ward	bearward
bearard	bear-herd
beareth	bears
beau-ti-ful	beautiful
beccare	bacare
beck'ning	beckoning
bed-chamber	bedchamber
bed-clothes	bedclothes
bed-ridden	bedridden
bed-room	bedroom
bed-rumes	bedrooms
bed-time	bedtime
bedevilling	bedeviling
beean	began
beetle-headed	beetleheaded
beeves	beefs
befal	befall
befel	befell
beflumm'd	beflummed
before-named	beforenamed
before-time	beforetime
began'st	begannest
beget'st	begettest
begg'st	beggest
beginnin'	beginning
begot	begotten
beguilnig	beguiling
behavedst	behavedest
behind-hand	behindhand
behold'st	beholdest
behoved	behooved
bein'	being
bejewelled	bejeweled
belabored	belaboured
belanging	belonging
beldam	beldame
beldam's	beldame's
beldams	beldames
believeth	believes
bell-wether	bellwether
belles	bells
bellyfulls	bellyfuls
belubed	beloved
bended	bent
bendin'	bending
benumb'd	benumbed
bequeath	bequeathe
bereaved	bereft
berkeley-Square	berkeley-square
berrid	buried
berrin	burying
berry	very
berryin	burying
berrying	burying
bery	berry
beseech'	beseech
beseemeth	beseems
besides	beside
bespake	bespoke
bestead	besteaded
bestrode	bestrid
betideth	betides
betrayedst	betrayedest
betted	bet
betther	better
bettre	better
between-Brussels	between-brussels
between-whiles	betweenwhiles
betwigst	betwixt
bewidged	bewitched
bid'st	biddest
big-swoln	big-swollen
bigetun	begotten
bigitun	begotten
bilbow	elbow
bindeth	binds
binnaclewatch	binnacle
birth-day	birthday
birth-hour's	birth's
birth-right	birthright
bis'ness	business
bisness	business
biteth	bites
bitin'	biting
bivouacks	bivouacs
black'st	blackest
blacken'd	blackened
blazon'st	blazonest
bleed'st	bleedest
bleedeth	bleeds
bleedn	bleeding
blent	blinded
bless'd	blessed
blesseth	blesses
blessin'	blessing
blest	blessed
blood-hound	bloodhound
blood-sucker	bloodsucker
blood-suckers	bloodsuckers
blood-sucking	bloodsucking
blood-thirsty	bloodthirsty
bloody-sceptered	bloody-sceptred
blow'st	blowest
blue-bottle	bluebottle
bluid	blood
bluidy	bloody
blustrous	blusterous
bo'	about
bo-peep	bopeep
boath	both
bohemian-Tartar	bohemian-tartar
bold'st	boldest
bold-faced	boldfaced
boll'n	bollen
bond-slaves	bondslaves
bone-ache	boneache
booath	both
book-men	bookmen
booke	book
bookin'	booking
boot-hose	boothose
boozin'	boozing
bore	boar
borne	born
borrow'dst	borrowedest
bottle-Nose	bottle-nose
bouge	budge
boun'	bound
boundeth	bounds
boundin'	bounding
bow-string	bowstring
bow-strings	bowstrings
bowes	bows
braggards	braggarts
bran-new	brand-new
bravos	bravoes
brazen-face	brazenface
brazen-faced	brazenfaced
break'st	breakest
break-neck	breakneck
breaketh	breaks
breakin'	breaking
breatheth	breathes
bred'ren	brothers
bredren	brothers
breedeth	breeds
breff	brief
brethren	brothers
brethren's	brothers'
brew-house	brewhouse
brewin'	brewing
bribed-buck	bribe-bucked
brick-wall	brickwall
bride-bed	bridebed
bridle-bitts	bridle-bits
brieves	briefs
brigger	bigger
brigness	bigness
bring'st	bringest
bringeth	brings
bringin'	bringing
brocken	broken
brothe	broth
browt	brought
brusts	bursts
builded	built
buildeth	builds
bull-calf	bullcalf
bullyin'	bullying
bung-hole	bunghole
burneth	burns
burnin	burning
burnin'	burning
burnt	burned
burs	burrs
burthen	burden
burthened	burdened
burthens	burdens
buryin'	burying
busilest	busiest
busines	business
business'	business's
butler'd	butlered
buyin'	buying
by-gone	bygone
by-past	bypast
by-paths	bypaths
by-words	bywords
byegones	bygones
byoo-ootiful	beautiful
ca'	call
ca'd	called
cabine	cabin
cahnt	cannot
cailliachs	cailliaches
cajolled	cajoled
calculatin	calculating
call'd	called
call'st	callest
calledst	calledest
calleth	calls
callin'	calling
calves'-guts	calf-guts
can'le	candle
can'st	canst
cancelled	canceled
cancelling	canceling
candle-holder	candleholder
candle-light	candlelight
cankerblossom	canker-blossom
canna	cannot
cannut	cannot
cannót	cannot
canonize	canonise
canvass	canvas
canvassing	canvasing
cap'ain	captain
cap'n	captain
cap'n's	captain's
caperin'	capering
captain'd	captained
capting	captain
car'ge	carriage
car'less	careless
car's	carries
carack	carrack
caracks	carracks
carawans	caravans
carcass	carcase
carcasses	carcases
card-maker	cardmaker
card-table	cardtable
careth	cares
carieatures	caricatures
carle	carl
carles	carls
caroll'd	caroled
carolled	caroled
carolling	caroling
carpenterin'	carpentering
carryin'	carrying
carte	cart
cas'alty	casualty
cast-away	castaway
casted	cast
castedst	castedest
casteth	casts
castle-Building	castle-building
cat-a-mountain	catamountain
catchin'	catching
catechize	catechise
cathecism	catechism
cauf	calf
caus'd	caused
causeth	causes
cavaleiro	cavalero
cavalery	cavalero
cavalrie	cavalry
caverton-Edge	caverton-edge
caviare	caviar
cavilling	caviling
ceaseth	ceases
ceassed	ceased
center	centre
cesse	cease
chaces	chases
cham'er	chamber
chamber-councils	chamber-counsels
chambre	chamber
chap-fallen	chapfallen
chapellin'	chapeling
chapmen's	chapman's
chappellin'	chapeling
charg'd	charged
chargeth	charges
charmeth	charms
charnel-house	charnelhouse
charrit	chariot
chaseth	chases
chasin'	chasing
chasten'd	chastened
chasteneth	chastens
chat-Moss	chat-moss
chaunt	chant
check'd	checked
checkered	chequered
cheecks	cheeks
cheer'st	cheerest
cherry-stone	cherrystone
chid'st	chidest
chil'en	children
child-like	childlike
childe	child
childer	children
childre	children
chile's	child's
chimnies	chimneys
chirrah	sirrah
chiselled	chiseled
choaking	choking
chollors	cholers
chooseth	chooses
chops	chaps
chorusses	choruses
chosing	choosing
chozzen	chosen
christenin'	christening
christian	Christian
christmas-day	christmasday
church-Yard	church-yard
church-way	churchway
chuse	choose
chuses	chooses
chusing	choosing
cibil	civil
civil'st	civilest
clapper-claw	clapperclaw
clapper-de-claw	clapperclaw
clapt	clapped
clar	clear
clar't	claret
clarin'	declaring
cleanin'	cleaning
cleaved	cleft
clepeth	clepes
clept	cleped
clere	clear
clergy's	clergies'
clerk-like	clerklike
climbeth	climbs
clippeth	clips
cliverer	cleverer
cloised	closed
cloo'as	clothes
cloose	clothes
close-stool	closestool
closly	closely
cloths	clothes
cmotions	emotions
co-equal	coequal
co-heirs	coheirs
co-partners	copartners
coal-black	coalblack
coasteth	coasts
cocoa-Tree	cocoa-tree
coffee-House	coffee-house
coffin-colored	coffin-coloured
coflicting	conflicting
cogscomb	coxcomb
cold'st	coldest
cold-blooded	coldblooded
cold-hearted	coldhearted
collectin'	collecting
color	colour
colored	coloured
colors	colours
colour-Sergeants	colour-sergeants
com'd	came
com'st	comest
comboined	combined
come's	comes
comed	came
cometh	comes
comforteth	comforts
comin	coming
comin'	coming
command'st	commandest
commander-in-Chief	commander-in-chief
commed	came
commin	coming
commit'st	committest
common'st	commonest
common-place	commonplace
compasseth	compasses
complainin'	complaining
complements	compliments
compos'd	composed
compremises	compromises
compt	count
con-found	confound
concerneth	concerns
confesseth	confesses
confidantes	confidants
confidentia'	confidential
congied	congeed
conscience'	conscience's
considable	considerable
considerin	considering
considerin'	considering
consience	conscience
consisteth	consists
consort'st	consortest
constraineth	constrains
contemned'st	contemnedest
content-a	content
contenteth	contents
contrairies	contraries
contrairy	contrary
contrivedst	contrivedest
controule	control
conven'ent	convenient
cony-catching	conycatching
cook's-Courtiers	cook's-courtiers
cookin'	cooking
cookit	cooked
coom	come
coomin'	coming
coorted	courted
coortin'	courting
coorting	courting
corn-field	cornfield
coronetted	coroneted
corrivalled	corrivaled
corse	corpse
corses	corpses
cosey	cosy
cotch	catch
cotched	catched
cotchin'	catching
cou'd	could
coucheth	couches
could'st	couldst
could't	couldn't
could-na	couldn't
couldna	couldn't
council-board	councilboard
counselled	counseled
countcardinal	count-cardinal
counterfeit'st	counterfeitest
country-seat	countryseat
court-Guide	court-guide
court-gate	courtgate
courte	court
courtezan	courtesan
coustusmes	customs
covereth	covers
covert'st	covertest
cow-dung	cowdung
cowl-staff	cowlstaff
coystrill	coystril
crab-tree	crabtree
crab-trees	crabtrees
crackin	cracking
crackin'	cracking
cracklin'	crackling
craveth	craves
creatur	creature
creatur'	creature
creatur's	creature's
creaturs	creatures
creeped	crept
creetur	creature
crest-fallen	crestfallen
cretur	creature
cretur's	creature's
creturs	creatures
criedst	criedest
crieth	cries
critters	creatures
crittur	creature
crittur's	creature's
critturs	creatures
crook-knee'd	crook-kneed
cross-bow	crossbow
cross-bows	crossbows
cross-row	crossrow
crossin	crossing
crossin'	crossing
cruell'st	cruelest
crueller	crueler
cruellest	cruelest
crueltys	cruelty's
crusheth	crushes
cryin'	crying
cudgelled	cudgeled
cudgelling	cudgeling
cultivatin'	cultivating
cum	came
cunning'st	cunningest
cur'ous	curious
curi's	curious
curis	curious
curous	curious
cursed'st	cursedest
curst	cursed
curstest	cursedest
curtesie	courtesy
curtseys	curtsies
curvetted	curveted
curvetting	curveting
cussed	cursed
cussedest	cursedest
cussin'	cursing
custom-House	custom-house
cut-throat	cutthroat
cutt'st	cuttest
cuttin'	cutting
cuttit	cut
cvidently	evidently
cymballed	cymbaled
cyphers	ciphers
d'or	d'Or
d'rectly	directly
dahn	down
daht	that
dam'	damned
dam'n	damn
dame's	dam's
damm'st	dammest
damme	damn
damn'd	damned
damndest	damnedest
damned'st	damnedest
damp'd	damped
